"Year","Africa","Asia","Australia","Brazil","India","Indonesia","Mexico","Mozambique","Myanmar","Oceania","Paraguay","South Africa","South America","Tanzania"
1990,25.8945505120749,26.3623719812871,3.95878113541535,26.8984700973574,2.42761411050702,15.969149070679,4.33563029460109,NA,2.75003160955873,4.14085219370338,NA,2.5224427866987,36.9009988620559,2.52876469844481
2000,28.5374082159159,17.7548455381359,4.18270820930079,33.9306740755441,4.16418601574387,6.41000198452074,2.81041211880664,NA,2.4485678375339,4.37917576238672,2.2632797512734,2.63941258186148,44.1026658728584,2.64602765098895
2010,37.6578256079993,24.7860350817727,3.53224303025167,15.8274722481146,5.6639267858656,NA,NA,2.26277434115753,2.62579442420134,3.88102703160749,3.51029573764935,NA,28.4213202270994,3.15227523091263
2015,43.487684729064,22.0197044334975,NA,16.7064039408867,6.58522167487685,6.40394088669951,NA,2.63083743842365,2.89576354679803,NA,2.75211822660098,NA,29.0935960591133,4.66995073891626
