"Sector","1990","2019"
"Agriculture",3165260009.76562,3492340087.89062
"Fugitive.emissions",1988900024.41406,3112939941.40625
"Waste",1287089965.82031,1486199951.17188
"Land.use.change.and.forestry",160520004.272461,187440002.441406
"Industry",5289999.96185303,9189999.5803833
"Other.fuel.combustion",13289999.961853,10750000
