"Sector","1990","2019"
"Agriculture",1831949951.17188,2302270019.53125
"Fugitive.emissions",2740000.00953674,6429999.82833862
"Waste",77319999.6948242,143660003.662109
"Land.use.change.and.forestry",80319999.6948242,92980003.3569336
"Industry",201639999.389648,260880004.882812
"Other.fuel.combustion",3369999.88555908,2250000
